"cmpgn_id","cmpgn_nm","cmpgn_ofer_id","copn_plcy_nm","cnts_prod_id","copn_use_sta_dt","copn_plcy_sta_dt","copn_plcy_end_dt","copn_cnt"
C2600RC,"<왕과 사는 남자> 타겟 프로모션_2,000원_0617",A1SA1020261000121266,"[즉시 할인] 왕과 사는 남자 2,200원 할인쿠폰",PPV 등,"20260621","20260616","20260731",367
C2600SG,"CJ ENM 월정액 3개월 5,500원_7월 1차",A1CP1020261000121358,"[쿨썸머 특가] CJ ENM 월정액 3개월 내내 월 5,500원",PM30000154,"20260707","20260622","20260731",65
C2600PR,"26년 6월_B tv+ 파격할인_UI 541 이상_1",A1CP1020261000120874,"[72시간 한정] B tv+ 12개월 월 5,500원 혜택",PM30000107,"20260613","20260526","20260614",183
C2600WD,통합 월정액 3개월 내내 80% 할인,A1CP1020261000121658,[쿨썸머 특가] 주요 월정액 3개월 내내 80% 할인 (택1),PM30000176,"20260728","20260720","20260731",65
C2600NL,<쉘터> 할인쿠폰 프로모션,A1SA1020261000120861,"[쉘터 런칭] 영화 3,300원 할인",PPV 등,"20260614","20260518","20260630",50
C2600T9,"26년 6월 B tv+ 할인 연장 캠페인_8월할인 7,700원",A1CP1020261000121368,"[가입 유지 선물] B tv+ 월 7,700원 이용 혜택 6개월 자동 연장_6월",PPV 등,"20260814","20260625","20260731",35
C2600SU,"26년 6월_B tv+ KBO 올스타전_UI 541 이상_1",A1CP1020261000121364,"[올스타전 특가] B tv+ 월 5,500원 혜택 (최대 12개월)",PM30000107,"20260628","20260624","20260705",156
C2600KO,<폭탄> 할인쿠폰 프로모션,A1SA1020261000120751,"[폭탄 런칭] 영화 5,500원 할인",PPV 등,"20260516","20260430","20260531",9
C2600PZ,SPOTV 6월 첫달무료_1차_0612,A1SA1020261000121164,[축구 이벤트] SPOTV Prime 1개월 무료,PM35000007,"20260613","20260609","20260630",125
C2600UT,"7월 성인 1+1 앵콜 프로모션_모바일 (7/11~7/20)",A1SA1020261000121459,"[1+1 앵콜 이벤트] 3,300원 할인 쿠폰 (모바일)",PPV 등,"20260716","20260708","20260831",33
C2600UF,"26년 7월_B tv+ 비플리_UI 541 이상_쿠폰&배너_4",A1CP1020261000121365,[고객님만 혜택] B tv+ 반값 할인 (최대 12개월),PM30000107,"20260716","20260624","20260731",2
C2600TJ,<데드 오브 윈터> 할인쿠폰 프로모션,A1SA1020261000121361,"[데드 오브 윈터 런칭] 영화 3,300원 할인",PPV 등,"20260709","20260622","20260731",24
C2600TZ,"지상파 월정액 3개월 5,500원_7월 2차",A1CP1020261000121373,"[쿨썸머 특가] 지상파 월정액 3개월 내내 월 5,500원",PM30000150,"20260729","20260629","20260731",42
C2600QV,"6월 성인 1+1 프로모션_모바일 (6/11~6/20)_수정",A1SA1020261000121169,"[1+1이벤트] 3,300원 할인 쿠폰 (모바일)",PPV 등,"20260628","20260609","20260731",8
C2600N5,(일회성) 6월 쿠폰팩 GCP(5/1~5/23가입)_TB,A1CP1020261000120865,[FREE PASS] B tv+ 1개월 무료_26년6월,PM30000107,"20260609","20260519","20260629",12
C2600P6,[주기성] 26년 6월_B tv+ 비플리_UI 541 이상_2~4차_2,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,"20260624","20260520","20260630",30
C2600TA,[주기성] 26년 7월_B tv+ 비플리_UI 541 이하_쿠폰,A1CP1020261000121366,[고객님만 혜택] B tv+ 반값 할인 (최대 12개월),PM30000107,"20260708","20260624","20260731",13
C2600NP,<모탈 컴뱃2> 할인쿠폰 프로모션,A1SA1020261000120959,"[모탈컴뱃2 런칭] 영화 5,500원 할인",PPV 등,"20260621","20260528","20260615",16
C2600N4,(주기성) 6월 쿠폰팩 GCP(5/24~6/21가입)_TB,A1SA1020261000120868,[FREE PASS] JTBC 1개월 무료_26년6월,PM30000269,"20260620","20260519","20260629",2
C2600M6,JTBC 월정액 첫달 무료_5월 2차,A1SA1020261000119567,[깜짝 특가] JTBC 월정액 1개월 100% 할인 쿠폰,PM30000269,"20260623","20260119","20261231",13
C2600LG,<스피드> 할인쿠폰 프로모션,A1SA1020261000120858,"[스피드 런칭] 영화 5,500원 할인",PPV 등,"20260520","20260512","20260531",3
C2600UV,모아나 소장용 패키지 프로모션 (7/10),A1SA1020261000121465,"[모아나 패키지 구매] 영화 5,500원 할인",PPV 등,"20260727","20260708","20260831",5
C2600TM,<신의 악단> 할인쿠폰 프로모션,A1SA1020261000121384,"[신의 악단 런칭] 영화 3,300원 할인",PPV 등,"20260731","20260630","20260731",2
C2600UF,"26년 7월_B tv+ 비플리_UI 541 이상_쿠폰&배너_4",A1CP1020261000121365,[고객님만 혜택] B tv+ 반값 할인 (최대 12개월),PM30000107,"20260706","20260624","20260731",1
C2600KI,"JTBC 월정액 6개월 약정 3,300원_5월 3차",A1CP1020261000120658,"[온가족특가] JTBC 6개월 약정 기간 내내 월 3,300원",PM30000269,"20260526","20260421","20260531",1
C2600N4,(주기성) 6월 쿠폰팩 GCP(5/24~6/21가입)_TB,A1SA1020261000120869,[FREE PASS] SPOTV 프라임패키지 1개월 무료_26년6월,PM35000007,"20260617","20260519","20260629",12
C2600KK,"CJ ENM 월정액 3개월 5,500원_5월 2차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원",PM30000154,"20260617","20260422","20260531",1
C2600R4,<피어스> 할인쿠폰 프로모션,A1SA1020261000121258,"[피어스 런칭] 영화 5,500원 할인",PPV 등,"20260702","20260615","20260731",1
C2600SH,<납치 48시간> 할인쿠폰 프로모션,A1SA1020261000121265,"[납치 48시간 런칭] 영화 3,300원 할인",PPV 등,"20260722","20260616","20260831",1
C2600N4,(주기성) 6월 쿠폰팩 GCP(5/24~6/21가입)_TB,A1SA1020261000120869,[FREE PASS] SPOTV 프라임패키지 1개월 무료_26년6월,PM35000007,,"20260519","20260629",51405
C2600SD,통합 월정액 첫달 90% 할인_추가 2차,A1CP1020261000121363,[쿨썸머 파격 특가] 주요 월정액 첫달 90% 할인 (택1),PM30000176,,"20260622","20260629",399409
C2600UD,"26년 7월_B tv+ 비플리_UI 541 이상_쿠폰&배너_2",A1CP1020261000121365,[고객님만 혜택] B tv+ 반값 할인 (최대 12개월),PM30000107,,"20260624","20260731",789318
C2600J7,"지상파 월정액 3개월 내내 5,500원_5월 2차",A1CP1020261000120660,"[온가족특가] 지상파 월정액 3개월 내내 월 5,500원",PM30000150,"20260503","20260422","20260531",140
C2600S0,SPOTV 6월 첫달무료_2차_0620,A1SA1020261000121165,[MLB 이벤트] SPOTV Prime 1개월 무료,PM35000007,"20260629","20260609","20260630",100
C2600UU,"7월 성인 1+1 앵콜 프로모션_모바일 (7/11~7/20)",A1SA1020261000121458,"[1+1 앵콜 이벤트] 3,300원 할인 쿠폰",PPV 등,"20260713","20260708","20260831",107
C2600N4,(주기성) 6월 쿠폰팩 GCP(5/24~6/21가입)_TB,A1CP1020261000120866,[FREE PASS] 지상파 3사 1개월 무료_26년6월,PM30000150,"20260614","20260519","20260629",13
C2600OC,"26년 6월_B tv+ 비플리_UI 541 이상_1차 쿠폰(~6/7) & 배너(~6/30)_4",A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,"20260616","20260520","20260630",15
C2600O8,[주기성] 26년 6월_B tv+ 비플리_UI 541 이하_쿠폰,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,"20260531","20260520","20260630",16
C2600S3,"6월 성인 1+1 프로모션 (6/21~6/30)",A1SA1020261000121170,"[1+1 앵콜 이벤트] 3,300원 할인 쿠폰",PPV 등,"20260710","20260609","20260731",112
C2600S3,"6월 성인 1+1 프로모션 (6/21~6/30)",A1SA1020261000121170,"[1+1 앵콜 이벤트] 3,300원 할인 쿠폰",PPV 등,"20260713","20260609","20260731",74
C2600WF,<군체[예약구매]> 할인쿠폰 프로모션,A1SA1020261000121562,"[군체 예약] 영화 4,400원 할인",PPV 등,"20260726","20260716","20260831",23
C2600S9,통합 월정액 첫달 90% 할인_추가 1차,A1CP1020261000121363,[쿨썸머 파격 특가] 주요 월정액 첫달 90% 할인 (택1),PM30000176,"20260626","20260622","20260629",89
C2600TG,JTBC 월정액 3개월 70% 할인_7월 1차,A1SA1020261000121374,[쿨썸머 특가] JTBC 월정액 3개월 내내 70% 할인,PM30000269,"20260708","20260629","20260731",33
C2600PV,"26년 6월_B tv+ 파격할인_UI 541 이하_5",A1CP1020261000120874,"[72시간 한정] B tv+ 12개월 월 5,500원 혜택",PM30000107,"20260614","20260526","20260614",43
C2600ND,"지상파 월정액 첫달 3,300원_6월 1차",A1CP1020261000120947,"[6월 특가] 지상파 월정액 1개월 13,200원 할인",PM30000150,"20260603","20260526","20260630",183
C2600PZ,SPOTV 6월 첫달무료_1차_0612,A1SA1020261000121164,[축구 이벤트] SPOTV Prime 1개월 무료,PM35000007,"20260626","20260609","20260630",30
C2600QR,"6월 성인 1+1 프로모션_추가 (6/12~14 구매자)",A1SA1020261000121168,"[1+1이벤트] 3,300원 할인 쿠폰",PPV 등,"20260703","20260609","20260731",36
C2600SG,"CJ ENM 월정액 3개월 5,500원_7월 1차",A1CP1020261000121358,"[쿨썸머 특가] CJ ENM 월정액 3개월 내내 월 5,500원",PM30000154,"20260720","20260622","20260731",53
C2600US,<잠금: 셧다운> 할인쿠폰 프로모션,A1SA1020261000121462,"[잠금: 셧다운 런칭] 영화 5,500원 할인",PPV 등,"20260730","20260708","20260831",9
C2600MI,JTBC 월정액 첫달 무료_6월 1차,A1SA1020261000119567,[깜짝 특가] JTBC 월정액 1개월 100% 할인 쿠폰,PM30000269,"20260625","20260119","20261231",51
C2600KI,"JTBC 월정액 6개월 약정 3,300원_5월 3차",A1CP1020261000120658,"[온가족특가] JTBC 6개월 약정 기간 내내 월 3,300원",PM30000269,"20260511","20260421","20260531",1
C2600QN,"지상파 월정액 첫달 3,300원_6월 4차",A1CP1020261000120947,"[6월 특가] 지상파 월정액 1개월 13,200원 할인",PM30000150,"20260617","20260526","20260630",53
C2600KK,"CJ ENM 월정액 3개월 5,500원_5월 2차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원",PM30000154,"20260524","20260422","20260531",34
C2600SC,<금발이 되고 싶어> 할인쿠폰 프로모션,A1SA1020261000121360,"[금발이 되고 싶어 런칭] 영화 5,500원 할인",PPV 등,"20260709","20260622","20260731",9
C2600TG,JTBC 월정액 3개월 70% 할인_7월 1차,A1SA1020261000121374,[쿨썸머 특가] JTBC 월정액 3개월 내내 70% 할인,PM30000269,"20260724","20260629","20260731",20
C2600KN,JTBC 월정액 첫달 무료_5월 1차,A1SA1020261000119567,[깜짝 특가] JTBC 월정액 1개월 100% 할인 쿠폰,PM30000269,"20260623","20260119","20261231",12
C2600TI,JTBC 월정액 3개월 70% 할인_7월 2차,A1SA1020261000121374,[쿨썸머 특가] JTBC 월정액 3개월 내내 70% 할인,PM30000269,"20260721","20260629","20260731",3
C2600JE,<캣 앤 독> 할인쿠폰 프로모션,A1SA1020261000120747,"[캣 앤 독 런칭] 영화 5,500원 할인",PPV 등,"20260511","20260428","20260531",3
C2600OB,"26년 6월_B tv+ 비플리_UI 541 이상_1차 쿠폰(~6/7) & 배너(~6/30)_3",A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,"20260606","20260520","20260630",9
C2600TA,[주기성] 26년 7월_B tv+ 비플리_UI 541 이하_쿠폰,A1CP1020261000121366,[고객님만 혜택] B tv+ 반값 할인 (최대 12개월),PM30000107,"20260716","20260624","20260731",12
C2600PT,"26년 6월_B tv+ 파격할인_UI 541 이상_3",A1CP1020261000120874,"[72시간 한정] B tv+ 12개월 월 5,500원 혜택",PM30000107,"20260613","20260526","20260614",3
C2600N5,(일회성) 6월 쿠폰팩 GCP(5/1~5/23가입)_TB,A1CP1020261000120866,[FREE PASS] 지상파 3사 1개월 무료_26년6월,PM30000150,"20260618","20260519","20260629",6
C2600Q5,<스위트 홈: 진격의 거인> 할인쿠폰 프로모션,A1SA1020261000121160,"[스위트 홈: 진격의 거인 런칭] 영화 3,300원 할인",PPV 등,"20260709","20260605","20260731",2
C2600NC,"26년 5월 B tv+ 할인 연장 캠페인_1주년 4,400원",A1CP1020261000120955,"[가입 유지 선물] B tv+ 월 4,400원 혜택 6개월 자동 연장_5월",PM30000107,"20260714","20260526","20260731",1
C2600R1,JTBC 월정액 첫달 무료_6월 3차,A1SA1020261000119567,[깜짝 특가] JTBC 월정액 1개월 100% 할인 쿠폰,PM30000269,"20260526","20260119","20261231",2
C2600RA,SPOTV 6월 첫달무료_1차_0617 토스트팝업,,,PPV 등,,,,1891714
C2600UQ,"2607_비플/캐치온 왕사남 해지취소",,,PPV 등,,,,2088
C2600O0,"26년 6월_B tv+ 짝수달 유료전환 테스트_UI 552 이상",A1CP1020261000120870,[6월 한정] B tv+ 첫달 무료,PM30000107,"20260605","20260520","20260630",65
C2600NP,<모탈 컴뱃2> 할인쿠폰 프로모션,A1SA1020261000120959,"[모탈컴뱃2 런칭] 영화 5,500원 할인",PPV 등,"20260616","20260528","20260615",21
C2600PY,SPOTV 6월 첫달무료_1차_0611,A1SA1020261000121164,[축구 이벤트] SPOTV Prime 1개월 무료,PM35000007,"20260611","20260609","20260630",104
C2600WC,"지상파 월정액 3개월 5,500원_7월 3차",A1CP1020261000121373,"[쿨썸머 특가] 지상파 월정액 3개월 내내 월 5,500원",PM30000150,"20260723","20260629","20260731",49
C2600R1,JTBC 월정액 첫달 무료_6월 3차,A1SA1020261000119567,[깜짝 특가] JTBC 월정액 1개월 100% 할인 쿠폰,PM30000269,"20260517","20260119","20261231",59
C2600QN,"지상파 월정액 첫달 3,300원_6월 4차",A1CP1020261000120947,"[6월 특가] 지상파 월정액 1개월 13,200원 할인",PM30000150,"20260623","20260526","20260630",52
C2600OY,통합 월정액 첫달 무료_6월 2차,A1CP1020261000120948,[이용 감사 혜택] 주요 월정액 1개월 100% 할인 (택1),PM30000176,"20260611","20260526","20260630",39
C2600UT,"7월 성인 1+1 앵콜 프로모션_모바일 (7/11~7/20)",A1SA1020261000121459,"[1+1 앵콜 이벤트] 3,300원 할인 쿠폰 (모바일)",PPV 등,"20260715","20260708","20260831",40
C2600TA,[주기성] 26년 7월_B tv+ 비플리_UI 541 이하_쿠폰,A1CP1020261000121366,[고객님만 혜택] B tv+ 반값 할인 (최대 12개월),PM30000107,"20260725","20260624","20260731",28
C2600S4,"6월 성인 1+1 프로모션_모바일 (6/21~6/30)",A1SA1020261000121171,"[1+1 앵콜 이벤트] 3,300원 할인 쿠폰 (모바일)",PPV 등,"20260712","20260609","20260731",14
C2600K8,<몽타주: 6일간의 추격> 타겟 프로모션_40%_0430,A1SA1020261000120748,[즉시 할인] 몽타주: 6일간의 추격 40% 할인쿠폰,PPV 등,"20260507","20260403","20260430",26
C2600QP,"지상파 월정액 첫달 3,300원_6월 5차",A1CP1020261000120947,"[6월 특가] 지상파 월정액 1개월 13,200원 할인",PM30000150,"20260606","20260526","20260630",2
C2600LG,<스피드> 할인쿠폰 프로모션,A1SA1020261000120858,"[스피드 런칭] 영화 5,500원 할인",PPV 등,"20260526","20260512","20260531",3
C2600Q3,"6월 성인 1+1 프로모션 (6/11~6/20)",A1SA1020261000121168,"[1+1이벤트] 3,300원 할인 쿠폰",PPV 등,"20260627","20260609","20260731",8
C2600O7,"2606_캐치온 해지방어_B tv+ Cross-sell",A1CP1020261000120958,[비밀 특가] B tv+ 1개월 100원,PM30000107,"20260624","20260528","20260712",3
C2600TO,<마이클> 할인쿠폰 프로모션,A1SA1020261000121261,"[마이클 런칭] 영화 3,300원 할인",PPV 등,"20260724","20260616","20260815",1
C2600PU,"26년 6월_B tv+ 파격할인_UI 541 이상_4",A1CP1020261000120874,"[72시간 한정] B tv+ 12개월 월 5,500원 혜택",PM30000107,"20260611","20260526","20260614",1
C2600WO,[팝업] 밸류애드팀 STB 교체(26.7.27)_4-1차,,,PPV 등,,,,243684
C2600OC,"26년 6월_B tv+ 비플리_UI 541 이상_1차 쿠폰(~6/7) & 배너(~6/30)_4",A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,"20260622","20260520","20260630",19
C2600SG,"CJ ENM 월정액 3개월 5,500원_7월 1차",A1CP1020261000121358,"[쿨썸머 특가] CJ ENM 월정액 3개월 내내 월 5,500원",PM30000154,"20260719","20260622","20260731",56
C2600LY,"26년 5월_B tv+ 비플리_UI 541 이상_2차(~5/25)_2(1770)",A1CP1020261000120859,[가정의 달] B tv+ 12개월 50% 할인 (~5/25),PM30000107,"20260520","20260515","20260525",30
C2600VN,<엘리베이션> 할인쿠폰 프로모션,A1SA1020261000121463,"[엘리베이션 런칭] 영화 3,300원 할인",PPV 등,"20260718","20260708","20260831",48
C2600LX,"26년 5월_B tv+ 비플리_UI 541 이상_2차(~5/25)_1(1770)",A1CP1020261000120859,[가정의 달] B tv+ 12개월 50% 할인 (~5/25),PM30000107,"20260523","20260515","20260525",149
C2600XG,"26년 7월 B tv+ 할인 연장 캠페인_6개월/9개월 할인재연",A1CP1020261000121664,"[가입 유지 선물] B tv+ 월 5,500원 이용 혜택 6개월 자동 연장_7월",PPV 등,"20261007","20260721","20260831",129
C2600XQ,통합 월정액 3개월 내내 80% 할인_8월 2차,A1CP1020261000121658,[쿨썸머 특가] 주요 월정액 3개월 내내 80% 할인 (택1),PM30000176,"20260723","20260720","20260731",6
C2600TG,JTBC 월정액 3개월 70% 할인_7월 1차,A1SA1020261000121374,[쿨썸머 특가] JTBC 월정액 3개월 내내 70% 할인,PM30000269,"20260722","20260629","20260731",29
C2600J5,"지상파 월정액 3개월 내내 5,500원_5월 1차",A1CP1020261000120660,"[온가족특가] 지상파 월정액 3개월 내내 월 5,500원",PM30000150,"20260525","20260422","20260531",66
C2600LE,"CJ ENM 월정액 3개월 5,500원_5월 3차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원",PM30000154,"20260531","20260422","20260531",31
C2600IP,"CJ ENM 월정액 3개월 5,500원_5월 1차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원",PM30000154,"20260502","20260422","20260531",74
C2600J5,"지상파 월정액 3개월 내내 5,500원_5월 1차",A1CP1020261000120660,"[온가족특가] 지상파 월정액 3개월 내내 월 5,500원",PM30000150,"20260514","20260422","20260531",48
C2600PQ,통합 월정액 첫달 무료_6월 3차,A1CP1020261000120948,[이용 감사 혜택] 주요 월정액 1개월 100% 할인 (택1),PM30000176,"20260619","20260526","20260630",119
C2600TK,<메가 샤크 어택> 할인쿠폰 프로모션,A1SA1020261000121369,"[메가 샤크 어택 런칭] 영화 5,500원 할인",PPV 등,"20260703","20260626","20260731",6
C2600M6,JTBC 월정액 첫달 무료_5월 2차,A1SA1020261000119567,[깜짝 특가] JTBC 월정액 1개월 100% 할인 쿠폰,PM30000269,"20260608","20260119","20261231",35
C2600KD,[주기성/쿠폰] <프로젝트헤일메리&인생SF전> 할인쿠폰 프로모션,A1PR1020261000120752,[프로젝트헤일메리] 인생SF영화 추가 30% 할인,PPV 등,"20260522","20260430","20260524",6
C2600IP,"CJ ENM 월정액 3개월 5,500원_5월 1차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원",PM30000154,"20260525","20260422","20260531",58
C2600PT,"26년 6월_B tv+ 파격할인_UI 541 이상_3",A1CP1020261000120874,"[72시간 한정] B tv+ 12개월 월 5,500원 혜택",PM30000107,"20260614","20260526","20260614",14
C2600ML,"26년 5월_B tv+ 비플리_UI 541 이상_3차(~5/31)_2",A1CP1020261000120854,[가정의 달] B tv+ 12개월 50% 할인 (~5/31),PM30000107,"20260525","20260507","20260531",10
C2600LG,<스피드> 할인쿠폰 프로모션,A1SA1020261000120858,"[스피드 런칭] 영화 5,500원 할인",PPV 등,"20260605","20260512","20260531",3
C2600Q5,<스위트 홈: 진격의 거인> 할인쿠폰 프로모션,A1SA1020261000121160,"[스위트 홈: 진격의 거인 런칭] 영화 3,300원 할인",PPV 등,"20260614","20260605","20260731",21
C2600KK,"CJ ENM 월정액 3개월 5,500원_5월 2차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원",PM30000154,"20260523","20260422","20260531",38
C2600LE,"CJ ENM 월정액 3개월 5,500원_5월 3차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원",PM30000154,"20260522","20260422","20260531",23
C2600TZ,"지상파 월정액 3개월 5,500원_7월 2차",A1CP1020261000121373,"[쿨썸머 특가] 지상파 월정액 3개월 내내 월 5,500원",PM30000150,"20260722","20260629","20260731",36
C2600P8,[주기성] 26년 6월_B tv+ 비플리_UI 541 이상_2~4차_4,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,"20260625","20260520","20260630",8
C2600O0,"26년 6월_B tv+ 짝수달 유료전환 테스트_UI 552 이상",A1CP1020261000120870,[6월 한정] B tv+ 첫달 무료,PM30000107,"20260608","20260520","20260630",59
C2600P5,[주기성] 26년 6월_B tv+ 비플리_UI 541 이상_2~4차_1,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,"20260613","20260520","20260630",3
C2600JE,<캣 앤 독> 할인쿠폰 프로모션,A1SA1020261000120747,"[캣 앤 독 런칭] 영화 5,500원 할인",PPV 등,"20260509","20260428","20260531",7
C2600TA,[주기성] 26년 7월_B tv+ 비플리_UI 541 이하_쿠폰,A1CP1020261000121366,[고객님만 혜택] B tv+ 반값 할인 (최대 12개월),PM30000107,"20260720","20260624","20260731",13
C2600JA,<오시리스> 할인쿠폰 프로모션,A1SA1020261000120652,"[오시리스 런칭] 영화 3,300원 할인",PPV 등,"20260526","20260421","20260531",1
C2600JE,<캣 앤 독> 할인쿠폰 프로모션,A1SA1020261000120747,"[캣 앤 독 런칭] 영화 5,500원 할인",PPV 등,"20260514","20260428","20260531",5
C2600OL,"지상파 월정액 첫달 3,300원_6월 2차",A1CP1020261000120947,"[6월 특가] 지상파 월정액 1개월 13,200원 할인",PM30000150,"20260627","20260526","20260630",3
C2600JR,[팝업] B tv All+(조합형)(26.5.05)_1-1차,,,PPV 등,,,,573291
C2600RN,[팝업] 밸류애드팀 Btv 업_단기(26.6.23)_4-1차,,,PPV 등,,,,281002
C2600S9,통합 월정액 첫달 90% 할인_추가 1차,A1CP1020261000121363,[쿨썸머 파격 특가] 주요 월정액 첫달 90% 할인 (택1),PM30000176,,"20260622","20260629",399541
C2600N4,(주기성) 6월 쿠폰팩 GCP(5/24~6/21가입)_TB,A1CP1020261000120865,[FREE PASS] B tv+ 1개월 무료_26년6월,PM30000107,"20260621","20260519","20260629",35
C2600VN,<엘리베이션> 할인쿠폰 프로모션,A1SA1020261000121463,"[엘리베이션 런칭] 영화 3,300원 할인",PPV 등,"20260725","20260708","20260831",180
C2600VB,"2607_무빙 연장 동의_TV팝업_16차",,,PPV 등,,,,3758
C2600NA,"26년 5월 B tv+ 할인 연장 캠페인_1주년 5,500원",A1CP1020261000120954,"[가입 유지 선물] B tv+ 월 5,500원 혜택 6개월 자동 연장_5월",PM30000107,"20260722","20260526","20260731",51
C2600N5,(일회성) 6월 쿠폰팩 GCP(5/1~5/23가입)_TB,A1CP1020261000120865,[FREE PASS] B tv+ 1개월 무료_26년6월,PM30000107,"20260627","20260519","20260629",30
C2600Q3,"6월 성인 1+1 프로모션 (6/11~6/20)",A1SA1020261000121168,"[1+1이벤트] 3,300원 할인 쿠폰",PPV 등,"20260618","20260609","20260731",30
C2600W1,"26년 7월_B tv+ KBS 이승철 콘서트_타임딜_UI 541 이상_2",A1CP1020261000121559,"[이승철 특가] B tv+ 월 5,500원 이용 혜택 (최대 12개월)",PM30000107,"20260717","20260714","20260722",95
C2600O8,[주기성] 26년 6월_B tv+ 비플리_UI 541 이하_쿠폰,A1CP1020261000120872,[위클리 혜택] B tv+ 12개월 50% 할인,PM30000107,"20260605","20260520","20260630",14
C2600PP,"지상파 월정액 첫달 3,300원_6월 3차",A1CP1020261000120947,"[6월 특가] 지상파 월정액 1개월 13,200원 할인",PM30000150,"20260622","20260526","20260630",3
C2600NE,통합 월정액 첫달 무료_6월 1차,A1CP1020261000120948,[이용 감사 혜택] 주요 월정액 1개월 100% 할인 (택1),PM30000176,"20260620","20260526","20260630",35
C2600WJ,"CJ ENM 월정액 3개월 5,500원_7월 3차",A1CP1020261000121358,"[쿨썸머 특가] CJ ENM 월정액 3개월 내내 월 5,500원",PM30000154,"20260702","20260622","20260731",1
C2600N4,(주기성) 6월 쿠폰팩 GCP(5/24~6/21가입)_TB,A1SA1020261000120869,[FREE PASS] SPOTV 프라임패키지 1개월 무료_26년6월,PM35000007,"20260614","20260519","20260629",7
C2600XQ,통합 월정액 3개월 내내 80% 할인_8월 2차,A1CP1020261000121658,[쿨썸머 특가] 주요 월정액 3개월 내내 80% 할인 (택1),PM30000176,"20260725","20260720","20260731",3
C2600M6,JTBC 월정액 첫달 무료_5월 2차,A1SA1020261000119567,[깜짝 특가] JTBC 월정액 1개월 100% 할인 쿠폰,PM30000269,"20260625","20260119","20261231",23
C2600JZ,"JTBC 월정액 6개월 약정 3,300원_5월 2차",A1CP1020261000120658,"[온가족특가] JTBC 6개월 약정 기간 내내 월 3,300원",PM30000269,"20260521","20260421","20260531",12
C2600T9,"26년 6월 B tv+ 할인 연장 캠페인_8월할인 7,700원",A1CP1020261000121368,"[가입 유지 선물] B tv+ 월 7,700원 이용 혜택 6개월 자동 연장_6월",PPV 등,"20260820","20260625","20260731",2
C2600KY,[팝업] B tv All+(조합형)(26.5.12)_2-1차,,,PPV 등,,,,571806
C2600Q9,[팝업] 밸류애드팀 Btv 업_단기(26.6.16)_3-2차,,,PPV 등,,,,305417
C2600IY,"JTBC 월정액 6개월 약정 3,300원_5월 1차",A1CP1020261000120658,"[온가족특가] JTBC 6개월 약정 기간 내내 월 3,300원",PM30000269,"20260515","20260421","20260531",6
C2600VN,<엘리베이션> 할인쿠폰 프로모션,A1SA1020261000121463,"[엘리베이션 런칭] 영화 3,300원 할인",PPV 등,"20260724","20260708","20260831",158
C2600WH,<군체> 할인쿠폰 프로모션,A1SA1020261000121563,[군체 런칭] 영화 20% 할인,PPV 등,"20260726","20260716","20260831",198
C2600QQ,통합 월정액 첫달 무료_6월 4차,A1CP1020261000120948,[이용 감사 혜택] 주요 월정액 1개월 100% 할인 (택1),PM30000176,"20260608","20260526","20260630",26
C2600SD,통합 월정액 첫달 90% 할인_추가 2차,A1CP1020261000121363,[쿨썸머 파격 특가] 주요 월정액 첫달 90% 할인 (택1),PM30000176,"20260626","20260622","20260629",88
C2600PZ,SPOTV 6월 첫달무료_1차_0612,A1SA1020261000121164,[축구 이벤트] SPOTV Prime 1개월 무료,PM35000007,"20260614","20260609","20260630",79
C2600TF,"지상파 월정액 3개월 5,500원_7월 1차",A1CP1020261000121373,"[쿨썸머 특가] 지상파 월정액 3개월 내내 월 5,500원",PM30000150,"20260708","20260629","20260731",76
C2600S3,"6월 성인 1+1 프로모션 (6/21~6/30)",A1SA1020261000121170,"[1+1 앵콜 이벤트] 3,300원 할인 쿠폰",PPV 등,"20260714","20260609","20260731",70
C2600Q5,<스위트 홈: 진격의 거인> 할인쿠폰 프로모션,A1SA1020261000121160,"[스위트 홈: 진격의 거인 런칭] 영화 3,300원 할인",PPV 등,"20260613","20260605","20260731",10
C2600KN,JTBC 월정액 첫달 무료_5월 1차,A1SA1020261000119567,[깜짝 특가] JTBC 월정액 1개월 100% 할인 쿠폰,PM30000269,"20260618","20260119","20261231",25
