"cmpgn_id","cmpgn_nm","cmpgn_ofer_id","copn_plcy_nm","pt_dt","cl","copn_plcy_sta_dt","copn_plcy_end_dt","cnts_prod_id","cnt"
C2600O7,"2606_캐치온 해지방어_B tv+ Cross-sell",,,"20260602",TOAST,,,PPV 등,7
C2600UN,"26년 7월_B tv+ KBS 이승철 콘서트_UI 541 이상_1",DummyOffer,,"20260724",TOAST,,,PPV 등,8
C2600SJ,[주기성]프라다입고문워크 신작혜택파티 프로모션,A1PR1020261000121272,[신작혜택파티] 영화 30% 할인(악마는프라다2 외 대상작),"20260713",TOAST,"20260618","20260706",PPV 등,7
C2600JZ,"JTBC 월정액 6개월 약정 3,300원_5월 2차",DummyOffer,,"20260627",TOAST,,,PPV 등,6
C2600JZ,"JTBC 월정액 6개월 약정 3,300원_5월 2차",DummyOffer,,"20260622",TOAST,,,PPV 등,4
C2600RW,"2606_비너스 디맨드_첫달무료_개편전",,,"20260702",TOAST,,,PPV 등,1
C2600LE,"CJ ENM 월정액 3개월 5,500원_5월 3차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원","20260623",TOAST,"20260422","20260531",PM30000154,2
C2600TO,<마이클> 할인쿠폰 프로모션,A1SA1020261000121261,"[마이클 런칭] 영화 3,300원 할인","20260714",TOAST,"20260616","20260815",PPV 등,2
C2600PU,"26년 6월_B tv+ 파격할인_UI 541 이상_4",DummyOffer,,"20260627",TOAST,,,PPV 등,1
C2600QL,"2606_플레이보이 디맨드_첫달무료_리마인드_2차",,,"20260705",TOAST,,,PPV 등,1
C2600OJ,"2606_플레이보이 디맨드_첫달무료",,,"20260710",TOAST,,,PPV 등,1
C2600OO,"26년 6월_B tv+ 국내여행_(6/3)_89",DummyOffer,,"20260603",TOAST,,,PPV 등,256799
C2600K8,<몽타주: 6일간의 추격> 타겟 프로모션_40%_0430,A1SA1020261000120748,[즉시 할인] 몽타주: 6일간의 추격 40% 할인쿠폰,"20260501",TOAST,"20260403","20260430",PPV 등,37330
C2600R8,"26년 6월_B tv+ 주말 야식비 지원_UI 541 이상_1",DummyOffer,,"20260618",TOAST,,,PPV 등,293490
C2600RH,"26년 6월_B tv+ 주말 야식비 지원_UI 541 이상_4",DummyOffer,,"20260619",TOAST,,,PPV 등,93433
C2600T1,"26년 6월_B tv+ KBO 올스타전_UI 541 이상_3",DummyOffer,,"20260706",TOAST,,,PPV 등,12219
C2600OP,"26년 6월_B tv+ 국내여행_(6/4~7)_0123",DummyOffer,,"20260610",TOAST,,,PPV 등,1868
C2600KK,"CJ ENM 월정액 3개월 5,500원_5월 2차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원","20260518",TOAST,"20260422","20260531",PM30000154,69
C2600JA,<오시리스> 할인쿠폰 프로모션,A1SA1020261000120652,"[오시리스 런칭] 영화 3,300원 할인","20260504",TOAST,"20260421","20260531",PPV 등,33
C2600IY,"JTBC 월정액 6개월 약정 3,300원_5월 1차",DummyOffer,,"20260703",TOAST,,,PPV 등,10
C2600Q5,<스위트 홈: 진격의 거인> 할인쿠폰 프로모션,A1SA1020261000121160,"[스위트 홈: 진격의 거인 런칭] 영화 3,300원 할인","20260625",TOAST,"20260605","20260731",PPV 등,11
C2600N2,"26년 5월_B tv+ 당첨자_UI 541 이상_4(1770)",DummyOffer,,"20260602",TOAST,,,PPV 등,56
C2600OW,"26년 6월_B tv+ 국내여행_(6/4~7)_4567",DummyOffer,,"20260628",TOAST,,,PPV 등,1
C2600W7,"7월 성인 1+1 이열치열 프로모션 (7/21~/20)",A1SA1020261000121561,"[1+1 이열치열 이벤트] 3,300원 할인 쿠폰","20260730",TOAST,"20260716","20260831",PPV 등,39
C2600K8,<몽타주: 6일간의 추격> 타겟 프로모션_40%_0430,A1SA1020261000120748,[즉시 할인] 몽타주: 6일간의 추격 40% 할인쿠폰,"20260602",TOAST,"20260403","20260430",PPV 등,48
C2600W2,"26년 7월_B tv+ KBS 이승철 콘서트_타임딜_UI 541 이상_3",DummyOffer,,"20260727",TOAST,,,PPV 등,11
C2600LE,"CJ ENM 월정액 3개월 5,500원_5월 3차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원",,TOAST,"20260422","20260531",PM30000154,0
C2600SJ,[주기성]프라다입고문워크 신작혜택파티 프로모션,A1PR1020261000121272,[신작혜택파티] 영화 30% 할인(악마는프라다2 외 대상작),"20260710",TOAST,"20260618","20260706",PPV 등,16
C2600PU,"26년 6월_B tv+ 파격할인_UI 541 이상_4",DummyOffer,,"20260716",TOAST,,,PPV 등,1
C2600PS,"26년 6월_B tv+ 파격할인_UI 541 이상_2",DummyOffer,,"20260705",TOAST,,,PPV 등,1
C2600NO,<푸틴: 절대 권력의 최후> 할인쿠폰 프로모션,A1SA1020261000120952,"[푸틴: 절대 권력의 최후 런칭] 영화 3,300원 할인","20260610",TOAST,"20260526","20260630",PPV 등,14
C2600UQ,"2607_비플/캐치온 왕사남 해지취소",,,"20260726",TOAST,,,PPV 등,4
C2600NC,"26년 5월 B tv+ 할인 연장 캠페인_1주년 4,400원",A1CP1020261000120955,"[가입 유지 선물] B tv+ 월 4,400원 혜택 6개월 자동 연장_5월",,TOAST,"20260526","20260731",PM30000107,0
C2600OP,"26년 6월_B tv+ 국내여행_(6/4~7)_0123",DummyOffer,,"20260625",TOAST,,,PPV 등,2
C2600OJ,"2606_플레이보이 디맨드_첫달무료",,,"20260729",TOAST,,,PPV 등,1
C2600UW,"26년 7월_B tv+ KBS 이승철 콘서트_UI 541 이상_2",DummyOffer,,,TOAST,,,PPV 등,0
C2600IP,"CJ ENM 월정액 3개월 5,500원_5월 1차",DummyOffer,,"20260727",TOAST,,,PPV 등,1
C2600S3,"6월 성인 1+1 프로모션 (6/21~6/30)",A1SA1020261000121170,"[1+1 앵콜 이벤트] 3,300원 할인 쿠폰","20260724",TOAST,"20260609","20260731",PPV 등,1
C2600IP,"CJ ENM 월정액 3개월 5,500원_5월 1차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원","20260502",TOAST,"20260422","20260531",PM30000154,9059
C2600O0,"26년 6월_B tv+ 짝수달 유료전환 테스트_UI 552 이상",DummyOffer,,"20260704",TOAST,,,PPV 등,8991
C2600JZ,"JTBC 월정액 6개월 약정 3,300원_5월 2차",DummyOffer,,"20260527",TOAST,,,PPV 등,1248
C2600VH,"26년 7월_B tv+ KBS 이승철 콘서트_타임딜_UI 541 이상_1",DummyOffer,,"20260724",TOAST,,,PPV 등,2762
C2600S3,"6월 성인 1+1 프로모션 (6/21~6/30)",A1SA1020261000121170,"[1+1 앵콜 이벤트] 3,300원 할인 쿠폰","20260630",TOAST,"20260609","20260731",PPV 등,327
C2600N2,"26년 5월_B tv+ 당첨자_UI 541 이상_4(1770)",DummyOffer,,"20260527",TOAST,,,PPV 등,864
C2600N0,"26년 5월_B tv+ 당첨자_UI 541 이상_2(1770)",DummyOffer,,"20260604",TOAST,,,PPV 등,161
C2600RA,SPOTV 6월 첫달무료_1차_0617 토스트팝업,,,"20260715",TOAST,,,PPV 등,103
C2600T6,"26년 6월 B tv+ 할인 연장 캠페인_광복절 5,500원",A1CP1020261000121367,"[가입 유지 선물] B tv+ 월 5,500원 이용 혜택 6개월 자동 연장_6월","20260707",TOAST,"20260625","20260731",PPV 등,3
C2600NA,"26년 5월 B tv+ 할인 연장 캠페인_1주년 5,500원",A1CP1020261000120954,"[가입 유지 선물] B tv+ 월 5,500원 혜택 6개월 자동 연장_5월","20260529",TOAST,"20260526","20260731",PM30000107,34
C2600RH,"26년 6월_B tv+ 주말 야식비 지원_UI 541 이상_4",DummyOffer,,"20260726",TOAST,,,PPV 등,15
C2600RH,"26년 6월_B tv+ 주말 야식비 지원_UI 541 이상_4",DummyOffer,,"20260721",TOAST,,,PPV 등,13
C2600T0,"26년 6월_B tv+ KBO 올스타전_UI 541 이상_2",DummyOffer,,"20260718",TOAST,,,PPV 등,12
C2600LE,"CJ ENM 월정액 3개월 5,500원_5월 3차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원","20260609",TOAST,"20260422","20260531",PM30000154,8
C2600KA,"26년 5월_B tv+ 비플리_UI 540 이하(1969)_토팝 멀티스탭",DummyOffer,,,TOAST,,,PPV 등,0
C2600RW,"2606_비너스 디맨드_첫달무료_개편전",,,"20260721",TOAST,,,PPV 등,2
C2600L8,"26년 5월_B tv+ 비플리_UI 541 이상_1차(~5/17)_2(1770)",DummyOffer,,"20260604",TOAST,,,PPV 등,1
C2600PJ,"2606_플레이보이 디맨드_첫달무료_리마인드_1차",,,,TOAST,,,PPV 등,0
C2600N0,"26년 5월_B tv+ 당첨자_UI 541 이상_2(1770)",DummyOffer,,"20260523",TOAST,,,PPV 등,221217
C2600RF,"26년 6월_B tv+ 주말 야식비 지원_UI 541 이상_2",DummyOffer,,"20260624",TOAST,,,PPV 등,5508
C2600XD,"26년 7월_B tv+ 7월 4주차 복날 타임딜_UI 541 이상_1_F",DummyOffer,,"20260728",TOAST,,,PPV 등,7158
C2600RG,"26년 6월_B tv+ 주말 야식비 지원_UI 541 이상_3",DummyOffer,,"20260623",TOAST,,,PPV 등,606
C2600PS,"26년 6월_B tv+ 파격할인_UI 541 이상_2",DummyOffer,,"20260617",TOAST,,,PPV 등,1403
C2600RC,"<왕과 사는 남자> 타겟 프로모션_2,000원_0617",A1SA1020261000121266,"[즉시 할인] 왕과 사는 남자 2,200원 할인쿠폰","20260729",TOAST,"20260616","20260731",PPV 등,25
C2600R5,<내 이름은> 할인쿠폰 프로모션,A1SA1020261000121159,"[내 이름은 런칭] 영화 5,500원 할인","20260623",TOAST,"20260605","20260731",PPV 등,479
C2600KK,"CJ ENM 월정액 3개월 5,500원_5월 2차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원","20260510",TOAST,"20260422","20260531",PM30000154,363
C2600IY,"JTBC 월정액 6개월 약정 3,300원_5월 1차",DummyOffer,,"20260529",TOAST,,,PPV 등,535
C2600KK,"CJ ENM 월정액 3개월 5,500원_5월 2차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원","20260513",TOAST,"20260422","20260531",PM30000154,119
C2600UV,모아나 소장용 패키지 프로모션 (7/10),A1SA1020261000121465,"[모아나 패키지 구매] 영화 5,500원 할인","20260719",TOAST,"20260708","20260831",PPV 등,46
C2600KK,"CJ ENM 월정액 3개월 5,500원_5월 2차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원","20260530",TOAST,"20260422","20260531",PM30000154,25
C2600RH,"26년 6월_B tv+ 주말 야식비 지원_UI 541 이상_4",DummyOffer,,"20260717",TOAST,,,PPV 등,19
C2600N1,"26년 5월_B tv+ 당첨자_UI 541 이상_3(1770)",DummyOffer,,"20260608",TOAST,,,PPV 등,4
C2600OM,"26년 6월_B tv+ 국내여행_(6/3)_0123",DummyOffer,,"20260612",TOAST,,,PPV 등,2
C2600JZ,"JTBC 월정액 6개월 약정 3,300원_5월 2차",DummyOffer,,"20260719",TOAST,,,PPV 등,3
C2600PS,"26년 6월_B tv+ 파격할인_UI 541 이상_2",DummyOffer,,"20260627",TOAST,,,PPV 등,2
C2600RW,"2606_비너스 디맨드_첫달무료_개편전",,,"20260701",TOAST,,,PPV 등,6
C2600UX,"26년 7월_B tv+ KBS 이승철 콘서트_UI 541 이상_3",DummyOffer,,"20260729",TOAST,,,PPV 등,3
C2600T7,<노멀> 할인쿠폰 프로모션,A1SA1020261000121162,"[노멀 런칭] 영화 3,300원 할인","20260714",TOAST,"20260605","20260731",PPV 등,1
C2600JA,<오시리스> 할인쿠폰 프로모션,A1SA1020261000120652,"[오시리스 런칭] 영화 3,300원 할인","20260520",TOAST,"20260421","20260531",PPV 등,1
C2600M2,"26년 5월_B tv+ 당첨자_UI 541 이상_1(1770)",DummyOffer,,"20260622",TOAST,,,PPV 등,1
C2600IP,"CJ ENM 월정액 3개월 5,500원_5월 1차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원","20260703",TOAST,"20260422","20260531",PM30000154,1
C2600OP,"26년 6월_B tv+ 국내여행_(6/4~7)_0123",DummyOffer,,"20260620",TOAST,,,PPV 등,3
C2600L7,"26년 5월_B tv+ 비플리_UI 541 이상_1차(~5/17)_1(1770)",DummyOffer,,"20260625",TOAST,,,PPV 등,2
C2600M2,"26년 5월_B tv+ 당첨자_UI 541 이상_1(1770)",DummyOffer,,"20260711",TOAST,,,PPV 등,1
C2600N1,"26년 5월_B tv+ 당첨자_UI 541 이상_3(1770)",DummyOffer,,"20260524",TOAST,,,PPV 등,75367
C2600K8,<몽타주: 6일간의 추격> 타겟 프로모션_40%_0430,A1SA1020261000120748,[즉시 할인] 몽타주: 6일간의 추격 40% 할인쿠폰,"20260502",TOAST,"20260403","20260430",PPV 등,200771
C2600O0,"26년 6월_B tv+ 짝수달 유료전환 테스트_UI 552 이상",DummyOffer,,"20260614",TOAST,,,PPV 등,78223
C2600IY,"JTBC 월정액 6개월 약정 3,300원_5월 1차",DummyOffer,,"20260524",TOAST,,,PPV 등,6910
C2600PS,"26년 6월_B tv+ 파격할인_UI 541 이상_2",DummyOffer,,"20260614",TOAST,,,PPV 등,6520
C2600N1,"26년 5월_B tv+ 당첨자_UI 541 이상_3(1770)",DummyOffer,,"20260527",TOAST,,,PPV 등,2535
C2600M8,<짱구> 할인쿠폰 프로모션,A1SA1020261000120863,"[짱구 런칭] 영화 5,500원 할인","20260526",TOAST,"20260518","20260630",PPV 등,682
C2600UU,"7월 성인 1+1 앵콜 프로모션_모바일 (7/11~7/20)",A1SA1020261000121458,"[1+1 앵콜 이벤트] 3,300원 할인 쿠폰","20260718",TOAST,"20260708","20260831",PPV 등,279
C2600OP,"26년 6월_B tv+ 국내여행_(6/4~7)_0123",DummyOffer,,"20260612",TOAST,,,PPV 등,1168
C2600XG,"26년 7월 B tv+ 할인 연장 캠페인_6개월/9개월 할인재연",A1CP1020261000121664,"[가입 유지 선물] B tv+ 월 5,500원 이용 혜택 6개월 자동 연장_7월","20260724",TOAST,"20260721","20260831",PPV 등,1387
C2600T4,"26년 6월_B tv+ KBO 올스타전_UI 541 이상_4",DummyOffer,,"20260629",TOAST,,,PPV 등,501
C2600NI,<시에라 마드레: 카르텔 전쟁> 할인쿠폰 프로모션,A1SA1020261000120862,"[시에라 마드레: 카르텔 전쟁 런칭] 영화 5,500원 할인","20260530",TOAST,"20260518","20260630",PPV 등,45
C2600KK,"CJ ENM 월정액 3개월 5,500원_5월 2차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원","20260602",TOAST,"20260422","20260531",PM30000154,12
C2600VN,<엘리베이션> 할인쿠폰 프로모션,A1SA1020261000121463,"[엘리베이션 런칭] 영화 3,300원 할인","20260722",TOAST,"20260708","20260831",PPV 등,62
C2600S6,토이스토리 소장용 패키지 프로모션_수정,A1SA1020261000121259,"[토이 스토리 패키지 구매] 영화 5,500원 할인","20260623",TOAST,"20260615","20260731",PPV 등,129
C2600US,<잠금: 셧다운> 할인쿠폰 프로모션,A1SA1020261000121462,"[잠금: 셧다운 런칭] 영화 5,500원 할인","20260717",TOAST,"20260708","20260831",PPV 등,15
C2600O7,"2606_캐치온 해지방어_B tv+ Cross-sell",,,"20260625",TOAST,,,PPV 등,4
C2600NO,<푸틴: 절대 권력의 최후> 할인쿠폰 프로모션,A1SA1020261000120952,"[푸틴: 절대 권력의 최후 런칭] 영화 3,300원 할인","20260612",TOAST,"20260526","20260630",PPV 등,4
C2600M2,"26년 5월_B tv+ 당첨자_UI 541 이상_1(1770)",DummyOffer,,"20260610",TOAST,,,PPV 등,4
C2600T9,"26년 6월 B tv+ 할인 연장 캠페인_8월할인 7,700원",A1CP1020261000121368,"[가입 유지 선물] B tv+ 월 7,700원 이용 혜택 6개월 자동 연장_6월","20260701",TOAST,"20260625","20260731",PPV 등,17
C2600QR,"6월 성인 1+1 프로모션_추가 (6/12~14 구매자)",A1SA1020261000121168,"[1+1이벤트] 3,300원 할인 쿠폰","20260620",TOAST,"20260609","20260731",PPV 등,6
C2600T0,"26년 6월_B tv+ KBO 올스타전_UI 541 이상_2",DummyOffer,,"20260712",TOAST,,,PPV 등,15
C2600T1,"26년 6월_B tv+ KBO 올스타전_UI 541 이상_3",DummyOffer,,"20260718",TOAST,,,PPV 등,6
C2600LA,"26년 5월_B tv+ 비플리_UI 541 이상_1차(~5/17)_4(1770)",DummyOffer,,"20260529",TOAST,,,PPV 등,4
C2600NI,<시에라 마드레: 카르텔 전쟁> 할인쿠폰 프로모션,A1SA1020261000120862,"[시에라 마드레: 카르텔 전쟁 런칭] 영화 5,500원 할인","20260605",TOAST,"20260518","20260630",PPV 등,16
C2600KI,"JTBC 월정액 6개월 약정 3,300원_5월 3차",A1CP1020261000120658,"[온가족특가] JTBC 6개월 약정 기간 내내 월 3,300원","20260701",TOAST,"20260421","20260531",PM30000269,3
C2600N0,"26년 5월_B tv+ 당첨자_UI 541 이상_2(1770)",DummyOffer,,"20260611",TOAST,,,PPV 등,2
C2600TH,<살목지> 할인쿠폰 프로모션,A1SA1020261000121380,"[살목지 런칭] 영화 3,300원 할인","20260712",TOAST,"20260629","20260731",PPV 등,2
C2600OW,"26년 6월_B tv+ 국내여행_(6/4~7)_4567",DummyOffer,,"20260619",TOAST,,,PPV 등,4
C2600T6,"26년 6월 B tv+ 할인 연장 캠페인_광복절 5,500원",A1CP1020261000121367,"[가입 유지 선물] B tv+ 월 5,500원 이용 혜택 6개월 자동 연장_6월","20260710",TOAST,"20260625","20260731",PPV 등,1
C2600NG,SPOTV 6월 첫달무료_1차_0613 토팝,,,"20260714",TOAST,,,PPV 등,3
C2600IY,"JTBC 월정액 6개월 약정 3,300원_5월 1차",DummyOffer,,"20260714",TOAST,,,PPV 등,2
C2600RW,"2606_비너스 디맨드_첫달무료_개편전",,,"20260703",TOAST,,,PPV 등,2
C2600PJ,"2606_플레이보이 디맨드_첫달무료_리마인드_1차",,,"20260714",TOAST,,,PPV 등,3
C2600XH,"26년 7월 B tv+ 50% 할인 연장 캠페인_25년9월할인",A1CP1020261000121665,[가입 유지 선물] B tv+ 50% 할인 혜택 6개월 자동 연장_7월,"20260730",TOAST,"20260721","20260831",PPV 등,1
C2600T8,<살목지(2차)> 할인쿠폰 프로모션,A1SA1020261000121161,"[살목지 런칭] 영화 4,444원 할인","20260710",TOAST,"20260605","20260731",PPV 등,1
C2600JZ,"JTBC 월정액 6개월 약정 3,300원_5월 2차",A1CP1020261000120658,"[온가족특가] JTBC 6개월 약정 기간 내내 월 3,300원","20260703",TOAST,"20260421","20260531",PM30000269,1
C2600MB,<힌드의 목소리> 할인쿠폰 프로모션,A1SA1020261000120864,"[힌드의 목소리 런칭] 영화 5,500원 할인","20260530",TOAST,"20260519","20260630",PPV 등,1
C2600KE,무비혜택도미도 쿠폰 사용 안내,,,"20260606",TOAST,,,PPV 등,1
C2600KK,"CJ ENM 월정액 3개월 5,500원_5월 2차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원","20260720",TOAST,"20260422","20260531",PM30000154,1
C2600O0,"26년 6월_B tv+ 짝수달 유료전환 테스트_UI 552 이상",DummyOffer,,"20260608",TOAST,,,PPV 등,47225
C2600PU,"26년 6월_B tv+ 파격할인_UI 541 이상_4",DummyOffer,,"20260613",TOAST,,,PPV 등,62801
C2600OU,"2606_SPOTV_BWF 인도네시아 오픈",DummyOffer,,"20260605",TOAST,,,PPV 등,8172
C2600PJ,"2606_플레이보이 디맨드_첫달무료_리마인드_1차",,,"20260608",TOAST,,,PPV 등,5902
C2600W7,"7월 성인 1+1 이열치열 프로모션 (7/21~/20)",A1SA1020261000121561,"[1+1 이열치열 이벤트] 3,300원 할인 쿠폰","20260723",TOAST,"20260716","20260831",PPV 등,174
C2600N1,"26년 5월_B tv+ 당첨자_UI 541 이상_3(1770)",DummyOffer,,"20260529",TOAST,,,PPV 등,1067
C2600RA,SPOTV 6월 첫달무료_1차_0617 토스트팝업,,,"20260717",TOAST,,,PPV 등,115
C2600RC,"<왕과 사는 남자> 타겟 프로모션_2,000원_0617",A1SA1020261000121266,"[즉시 할인] 왕과 사는 남자 2,200원 할인쿠폰","20260626",TOAST,"20260616","20260731",PPV 등,296
C2600IY,"JTBC 월정액 6개월 약정 3,300원_5월 1차",DummyOffer,,"20260518",TOAST,,,PPV 등,168
C2600KK,"CJ ENM 월정액 3개월 5,500원_5월 2차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원","20260524",TOAST,"20260422","20260531",PM30000154,84
C2600KD,[주기성/쿠폰] <프로젝트헤일메리&인생SF전> 할인쿠폰 프로모션,A1PR1020261000120752,[프로젝트헤일메리] 인생SF영화 추가 30% 할인,"20260509",TOAST,"20260430","20260524",PPV 등,256
C2600S6,토이스토리 소장용 패키지 프로모션_수정,A1SA1020261000121259,"[토이 스토리 패키지 구매] 영화 5,500원 할인","20260622",TOAST,"20260615","20260731",PPV 등,139
C2600S6,토이스토리 소장용 패키지 프로모션_수정,A1SA1020261000121259,"[토이 스토리 패키지 구매] 영화 5,500원 할인","20260708",TOAST,"20260615","20260731",PPV 등,9
C2600NP,<모탈 컴뱃2> 할인쿠폰 프로모션,A1SA1020261000120959,"[모탈컴뱃2 런칭] 영화 5,500원 할인","20260625",TOAST,"20260528","20260615",PPV 등,1
C2600KK,"CJ ENM 월정액 3개월 5,500원_5월 2차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원","20260614",TOAST,"20260422","20260531",PM30000154,2
C2600IY,"JTBC 월정액 6개월 약정 3,300원_5월 1차",DummyOffer,,"20260705",TOAST,,,PPV 등,6
C2600N3,[주기성/쿠폰] <살목지&K-공포상영회> 할인쿠폰 프로모션,A1PR1020261000120873,[K-공포 상영회] 영화 50% 할인,"20260616",TOAST,"20260520","20260609",PPV 등,8
C2600S6,토이스토리 소장용 패키지 프로모션_수정,A1SA1020261000121259,"[토이 스토리 패키지 구매] 영화 5,500원 할인","20260630",TOAST,"20260615","20260731",PPV 등,8
C2600IP,"CJ ENM 월정액 3개월 5,500원_5월 1차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원",,TOAST,"20260422","20260531",PM30000154,0
C2600PJ,"2606_플레이보이 디맨드_첫달무료_리마인드_1차",,,"20260723",TOAST,,,PPV 등,1
C2600OM,"26년 6월_B tv+ 국내여행_(6/3)_0123",DummyOffer,,"20260610",TOAST,,,PPV 등,3
C2600M2,"26년 5월_B tv+ 당첨자_UI 541 이상_1(1770)",DummyOffer,,"20260713",TOAST,,,PPV 등,1
C2600M8,<짱구> 할인쿠폰 프로모션,A1SA1020261000120863,"[짱구 런칭] 영화 5,500원 할인","20260613",TOAST,"20260518","20260630",PPV 등,1
C2600OO,"26년 6월_B tv+ 국내여행_(6/3)_89",DummyOffer,,"20260606",TOAST,,,PPV 등,5
C2600UQ,"2607_비플/캐치온 왕사남 해지취소",,,"20260717",TOAST,,,PPV 등,3
C2600SU,"26년 6월_B tv+ KBO 올스타전_UI 541 이상_1",DummyOffer,,"20260729",TOAST,,,PPV 등,2
C2600TL,"7월 성인 1+1 프로모션 (7/1~7/10)",A1SA1020261000121370,"[1+1이벤트] 3,300원 할인 쿠폰","20260714",TOAST,"20260626","20260731",PPV 등,2
C2600KK,"CJ ENM 월정액 3개월 5,500원_5월 2차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원",,TOAST,"20260422","20260531",PM30000154,0
C2600TM,<신의 악단> 할인쿠폰 프로모션,A1SA1020261000121384,"[신의 악단 런칭] 영화 3,300원 할인","20260730",TOAST,"20260630","20260731",PPV 등,1
C2600N0,"26년 5월_B tv+ 당첨자_UI 541 이상_2(1770)",DummyOffer,,"20260623",TOAST,,,PPV 등,1
C2600SU,"26년 6월_B tv+ KBO 올스타전_UI 541 이상_1",DummyOffer,,"20260626",TOAST,,,PPV 등,120146
C2600RA,SPOTV 6월 첫달무료_1차_0617 토스트팝업,,,"20260619",TOAST,,,PPV 등,17645
C2600N1,"26년 5월_B tv+ 당첨자_UI 541 이상_3(1770)",DummyOffer,,"20260602",TOAST,,,PPV 등,392
C2600OU,"2606_SPOTV_BWF 인도네시아 오픈",DummyOffer,,"20260711",TOAST,,,PPV 등,218
C2600LA,"26년 5월_B tv+ 비플리_UI 541 이상_1차(~5/17)_4(1770)",DummyOffer,,"20260519",TOAST,,,PPV 등,3134
C2600K8,<몽타주: 6일간의 추격> 타겟 프로모션_40%_0430,A1SA1020261000120748,[즉시 할인] 몽타주: 6일간의 추격 40% 할인쿠폰,"20260519",TOAST,"20260403","20260430",PPV 등,150
C2600UT,"7월 성인 1+1 앵콜 프로모션_모바일 (7/11~7/20)",A1SA1020261000121459,"[1+1 앵콜 이벤트] 3,300원 할인 쿠폰 (모바일)","20260721",TOAST,"20260708","20260831",PPV 등,10
C2600LA,"26년 5월_B tv+ 비플리_UI 541 이상_1차(~5/17)_4(1770)",DummyOffer,,"20260527",TOAST,,,PPV 등,6
C2600OP,"26년 6월_B tv+ 국내여행_(6/4~7)_0123",DummyOffer,,"20260627",TOAST,,,PPV 등,3
C2600LE,"CJ ENM 월정액 3개월 5,500원_5월 3차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원","20260704",TOAST,"20260422","20260531",PM30000154,4
C2600N0,"26년 5월_B tv+ 당첨자_UI 541 이상_2(1770)",DummyOffer,,"20260629",TOAST,,,PPV 등,4
C2600QU,"6월 성인 1+1 프로모션 (6/11~6/20)_수정",A1SA1020261000121168,"[1+1이벤트] 3,300원 할인 쿠폰","20260624",TOAST,"20260609","20260731",PPV 등,14
C2600NC,"26년 5월 B tv+ 할인 연장 캠페인_1주년 4,400원",A1CP1020261000120955,"[가입 유지 선물] B tv+ 월 4,400원 혜택 6개월 자동 연장_5월","20260607",TOAST,"20260526","20260731",PM30000107,1
C2600N3,[주기성/쿠폰] <살목지&K-공포상영회> 할인쿠폰 프로모션,A1PR1020261000120873,[K-공포 상영회] 영화 50% 할인,"20260619",TOAST,"20260520","20260609",PPV 등,3
C2600RG,"26년 6월_B tv+ 주말 야식비 지원_UI 541 이상_3",DummyOffer,,"20260722",TOAST,,,PPV 등,3
C2600LE,"CJ ENM 월정액 3개월 5,500원_5월 3차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원","20260710",TOAST,"20260422","20260531",PM30000154,1
C2600L8,"26년 5월_B tv+ 비플리_UI 541 이상_1차(~5/17)_2(1770)",DummyOffer,,"20260523",TOAST,,,PPV 등,4
C2600OW,"26년 6월_B tv+ 국내여행_(6/4~7)_4567",DummyOffer,,"20260706",TOAST,,,PPV 등,2
C2600IP,"CJ ENM 월정액 3개월 5,500원_5월 1차",A1CP1020261000120659,"[온가족특가] CJ ENM 월정액 3개월 내내 5,500원","20260531",TOAST,"20260422","20260531",PM30000154,2
C2600KE,무비혜택도미도 쿠폰 사용 안내,,,"20260619",TOAST,,,PPV 등,1
C2600X8,"26년 7월_B tv+ 7월 4주차 복날 타임딜_UI 541 이상_3_F",DummyOffer,,,TOAST,,,PPV 등,0
C2600OP,"26년 6월_B tv+ 국내여행_(6/4~7)_0123",DummyOffer,,"20260622",TOAST,,,PPV 등,1
C2600JB,<극장의 시간들> 할인쿠폰 프로모션,A1SA1020261000120746,"[극장의 시간들 런칭] 영화 5,500원 할인",,TOAST,"20260428","20260531",PPV 등,0
