"cmpgn_id","cmpgn_nm","copn_plcy_num","copn_plcy_nm","cnts_prod_id","prod_nm","copn_yn","cmpgn_svc_cnt","copn_use_cnt","copn_use_sta_dt","toast_yn","toast_cmpgn_cnt","toast_show_cnt","toast_click_cnt","toast_go_cnt","toast_exit_cnt","toast_show_dt","smart_cmpgn_cnt","smart_show_cnt","smart_click_cnt","smart_go_cnt","smart_exit_cnt"
C2600MN,"26년 5월_B tv+ 비플리_UI 541 이상_3차(~5/31)_4",A1CP1020261000120854,[가정의 달] B tv+ 12개월 50% 할인 (~5/31),PM30000107,B tv+,1,306247,32,"20260531",0,0,0,0,0,0,,271973,271957,198350,9770,194525
C2600MO,[팝업] 밸류애드팀 STB 교체(26.5.25)_4-2차,,-,,,0,279643,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600MP,[팝업] 밸류애드팀 STB 교체(26.5.25)_4-3차,,-,,,0,330197,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600MQ,[팝업] 밸류애드팀 Btv 업_단기(26.5.26)_4-1차,,-,,,0,281848,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600MR,[팝업] 밸류애드팀 Btv 업_단기(26.5.26)_4-2차,,-,,,0,296080,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600MS,[팝업] 밸류애드팀 Btv 업_단기(26.5.26)_4-3차,,-,,,0,146315,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600MT,[팝업] B tv All+(조합형)(26.5.26)_4-1차,,-,,,0,578964,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600MU,[팝업] B tv 스탠다드+(조합형)_(26.5.26)_4-1차,,-,,,0,441226,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600MV,[팝업] 밸류애드팀 Btv 업_장기(26.5.27)_4-1차,,-,,,0,404884,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600MW,[팝업] 밸류애드팀 Btv 업_장기(26.5.27)_4-2차,,-,,,0,382285,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600MX,[팝업] 밸류애드팀 Btv 업_장기(26.5.27)_4-3차,,-,,,0,175522,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600MY,[팝업] 밸류애드팀 Btv 업_장기(26.5.27)_4-4차,,-,,,0,402636,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600MZ,"2605_무빙 연장 동의_TV팝업_9차",,-,,,0,4266,0,,0,0,0,0,0,0,,0,0,0,0,0
C2600N0,"26년 5월_B tv+ 당첨자_UI 541 이상_2(1770)",DummyOffer,-,,,1,788395,0,,1,788395,472069,305746,12873,296114,"20260731",0,0,0,0,0
C2600N1,"26년 5월_B tv+ 당첨자_UI 541 이상_3(1770)",DummyOffer,-,,,1,791175,0,,1,791175,627743,405277,12617,396583,"20260727",0,0,0,0,0
C2600N2,"26년 5월_B tv+ 당첨자_UI 541 이상_4(1770)",DummyOffer,-,,,1,306420,0,,1,306420,219165,113424,3506,110618,"20260710",0,0,0,0,0
C2600N3,[주기성/쿠폰] <살목지&K-공포상영회> 할인쿠폰 프로모션,A1PR1020261000120873,[K-공포 상영회] 영화 50% 할인,,,1,34550,506,"20260616",1,34550,20703,12128,0,12128,"20260717",24118,24117,21564,2720,20877
